Name,HexColor
Ivory White - Matte,#FFFFFF
Latte Brown - Matte,#D3B7A7
Desert Tan - Matte,#E8DBB7
Ash Gray - Matte,#9B9EA0
Lilac Purple - Matte,#AE96D4
Sakura Pink - Matte,#E8AFCF
Mandarin Orange - Matte,#F99963
Lemon Yellow - Matte,#F7D959
Scarlet Red - Matte,#DE4343
Dark Red - Matte,#BB3D43
Dark Brown - Matte,#7D6556
Dark Green - Matte,#68724D
Grass Green - Matte,#61C680
Ice Blue - Matte,#A3D8E1
Marine Blue - Matte,#0078BF
Dark Blue - Matte,#042F56
Charcoal - Matte,#000000
Jade White - Basic,#FFFFFF
Beige - Basic,#F7E6DE
Gold - Basic,#E4BD68
Silver - Basic,#A6A9AA
Gray - Basic,#8E9089
Bronze - Basic,#847D48
Brown - Basic,#9D432C
Red - Basic,#C12E1F
Magenta - Basic,#EC008C
Pink - Basic,#F55A74
Orange - Basic,#FF6A13
Yellow - Basic,#F4EE2A
Bambu Green - Basic,#00AE42
Mistletoe Green - Basic,#3F8E43
Cyan - Basic,#0086D6
Blue - Basic,#0A2989
Purple - Basic,#5E43B7
Blue Gray - Basic,#5B6579
Light Gray - Basic,#D1D3D5
Dark Gray - Basic,#545454
Black - Basic,#000000
